,区,单价,小区,层,总价,房型,房龄,板块,网址,面积
0,浦东,55884,艾东小区,中区/6层,255,1室1厅,1995,北蔡,/ershoufang/sh4726927.html,45.63
1,浦东,13608,梅园二街坊,中区/6层,448,1室1厅,1985,源深,/ershoufang/sh4820102.html,32.92
2,浦东,73944,金旋小区,低区/6层,275,1室0厅,1995,北蔡,/ershoufang/sh4784640.html,37.19
3,浦东,63356,上南十一村,中区/6层,268,2室1厅,1992,世博,/ershoufang/sh4780796.html,42.3
4,浦东,13061,桃林一小区,中区/6层,500,1室1厅,1995,源深,/ershoufang/sh4769613.html,38.28
5,浦东,58993,临沂六村,高区/6层,245,2室0厅,1991,南码头,/ershoufang/sh4760673.html,41.53
6,浦东,70689,昌四小区,低区/6层,205,1室0厅,1994,世博,/ershoufang/sh4755982.html,29.0
7,浦东,47777,富特五村,中区/6层,215,1室1厅,1993,外高桥,/ershoufang/sh4737775.html,45.0
8,浦东,75067,潍坊四村,中区/6层,305,1室1厅,1982,潍坊,/ershoufang/sh4736313.html,40.63
9,浦东,67032,上南十村,低区/6层,330,2室1厅,1991,世博,/ershoufang/sh4728362.html,49.23
10,浦东,10059,崮山小区一街坊,低区/6层,460,1室1厅,2000,洋泾,/ershoufang/sh4722034.html,45.73
11,浦东,58997,上南八村,高区/6层,280,2室0厅,1988,世博,/ershoufang/sh4717516.html,47.46
12,浦东,68131,南泉小区,高区/6层,245,1室1厅,1985,塘桥,/ershoufang/sh4715734.html,35.96
13,浦东,62517,昌四小区,中区/6层,228,1室1厅,1994,世博,/ershoufang/sh4713806.html,36.47
14,浦东,58164,由由六村,高区/7层,270,2室1厅,1995,北蔡,/ershoufang/sh4713637.html,46.42
15,浦东,79255,海光大楼,低区/18层,392,1室1厅,1990,洋泾,/ershoufang/sh4703828.html,49.46
16,浦东,57919,罗山五村,高区/6层,245,1室1厅,1990,金杨,/ershoufang/sh4703574.html,42.3
17,浦东,58737,南杨小区（长清路）,高区/6层,240,1室1厅,1995,三林,/ershoufang/sh4689318.html,40.86
18,浦东,78015,竹园新村（浦东）,低区/6层,390,2室1厅,1989,源深,/ershoufang/sh4688793.html,49.99
19,浦东,66514,恒大华城梅山苑,低区/6层,320,1室1厅,1996,三林,/ershoufang/sh4673221.html,48.11
20,浦东,46894,富特四村,高区/6层,225,1室1厅,1993,外高桥,/ershoufang/sh4667356.html,47.98
21,浦东,62683,金杨新村五街坊,低区/6层,278,1室1厅,1994,金杨,/ershoufang/sh4655451.html,44.35
22,浦东,72384,金杨六街坊,高区/6层,303,1室1厅,1994,金杨,/ershoufang/sh4652619.html,41.86
23,浦东,70704,蓝高小区,高区/6层,300,1室1厅,1991,塘桥,/ershoufang/sh4651132.html,42.43
24,浦东,65600,上南三村,低区/6层,328,2室1厅,1984,世博,/ershoufang/sh4638325.html,50.0
25,浦东,56761,凌兆新村（凌兆路586弄）,高区/6层,272,1室1厅,1994,三林,/ershoufang/sh4630939.html,47.92
26,浦东,62774,芳草路352弄,高区/6层,300,1室1厅,1994,北蔡,/ershoufang/sh4573464.html,47.79
27,浦东,41851,南桥路305号,中区/5层,208,2室1厅,1982,川沙,/ershoufang/sh4564465.html,49.7
28,浦东,71043,文兰小区,低区/6层,290,1室1厅,1992,塘桥,/ershoufang/sh4558754.html,40.82
29,浦东,60641,金杨新村三街坊,高区/7层,259,1室1厅,1995,金杨,/ershoufang/sh4555519.html,42.71
30,浦东,66894,德州二村,中区/5层,255,1室1厅,1985,世博,/ershoufang/sh4471200.html,38.12
31,浦东,62658,德州四村,中区/6层,198,1室0厅,1988,世博,/ershoufang/sh4382139.html,31.6
32,浦东,58309,思浦小区,中区/6层,200,1室0厅,1986,三林,/ershoufang/sh4299846.html,34.3
33,浦东,76194,乳山二村,高区/6层,370,2室0厅,1979,陆家嘴,/ershoufang/sh4247242.html,48.56
34,浦东,56271,凌高小区,高区/24层,275,1室1厅,1995,洋泾,/ershoufang/sh4734964.html,48.87
35,浦东,64218,云台二小区,高区/24层,320,1室1厅,1995,世博,/ershoufang/sh4518689.html,49.83
36,浦东,71191,金杨四街坊,低区/6层,300,1室1厅,1995,金杨,/ershoufang/sh4814822.html,42.14
37,浦东,69215,上南四村,低区/6层,210,1室0厅,1982,世博,/ershoufang/sh4797377.html,30.34
38,浦东,66339,博三小区,高区/6层,270,1室1厅,1994,金桥,/ershoufang/sh4788071.html,40.7
39,浦东,70422,浦建小区,中区/6层,280,1室1厅,1992,塘桥,/ershoufang/sh4786736.html,39.76
40,浦东,67089,东明新村,中区/6层,328,2室1厅,1981,陆家嘴,/ershoufang/sh4785232.html,48.89
41,浦东,58185,东一小区,低区/6层,252,1室1厅,1996,金桥,/ershoufang/sh4785048.html,43.31
42,浦东,69350,上南一村,高区/6层,205,1室1厅,1982,世博,/ershoufang/sh4758322.html,29.56
43,浦东,11830,桃林一小区,低区/6层,568,1室1厅,1995,源深,/ershoufang/sh4742930.html,48.01
44,浦东,63681,金光小区,中区/6层,310,1室1厅,1997,三林,/ershoufang/sh4705213.html,48.68
45,浦东,62500,新世纪花苑（一期）（浦东）,低区/7层,300,1室1厅,unknow,世博,/ershoufang/sh4703314.html,48.0
46,浦东,51904,寿光路161弄,中区/4层,248,1室1厅,1996,金桥,/ershoufang/sh4567471.html,47.78
47,浦东,61162,阳光二村,高区/6层,300,1室1厅,1994,洋泾,/ershoufang/sh4523745.html,49.05
48,浦东,61647,德州二村,高区/5层,235,1室1厅,1985,世博,/ershoufang/sh4482527.html,38.12
49,浦东,55118,沪东新村,低区/4层,210,1室0厅,1958,金桥,/ershoufang/sh4481752.html,38.1
50,浦东,62540,沂南路54弄,高区/6层,192,1室0厅,1981,南码头,/ershoufang/sh4429511.html,30.7
51,浦东,61630,浦三小区,高区/6层,248,1室0厅,1997,金桥,/ershoufang/sh4424944.html,40.24
52,浦东,55568,南杨小区（长清路）,中区/6层,232,1室1厅,1995,三林,/ershoufang/sh4804710.html,41.75
53,浦东,61674,金杨新村三街坊,低区/7层,266,1室1厅,1995,金杨,/ershoufang/sh4801408.html,43.13
54,浦东,95338,巨东小区,中区/6层,450,1室1厅,1994,洋泾,/ershoufang/sh4792315.html,47.2
55,浦东,82953,潍坊八村,高区/6层,400,2室1厅,1984,潍坊,/ershoufang/sh4791914.html,48.22
56,浦东,58809,上南十村,低区/6层,252,1室1厅,1993,世博,/ershoufang/sh4763791.html,42.85
57,浦东,62090,金杨新村五街坊,低区/6层,275,1室1厅,1994,金杨,/ershoufang/sh4757730.html,44.29
58,浦东,60469,东明苑,高区/6层,268,1室1厅,1996,世博,/ershoufang/sh4751613.html,44.32
59,浦东,58619,锦南浦三小区,低区/6层,203,1室0厅,1995,南码头,/ershoufang/sh4748508.html,34.63
60,浦东,59016,临沂六村,中区/6层,270,2室0厅,1991,南码头,/ershoufang/sh4746965.html,45.75
61,浦东,54173,凌兆新村（凌兆路379弄）,中区/6层,270,1室1厅,1996,三林,/ershoufang/sh4741312.html,49.84
62,浦东,62748,金杨新村三街坊,高区/6层,268,1室1厅,1995,金杨,/ershoufang/sh4740222.html,42.71
63,浦东,12271,潍坊十村,高区/6层,410,1室0厅,1985,潍坊,/ershoufang/sh4724963.html,33.41
64,浦东,51308,城南路380弄,中区/5层,196,2室1厅,1981,川沙,/ershoufang/sh4721571.html,38.2
65,浦东,61927,阳光二村,中区/5层,230,1室1厅,1994,洋泾,/ershoufang/sh4719783.html,37.14
66,浦东,63414,惠德新邨,中区/6层,260,1室1厅,1996,北蔡,/ershoufang/sh4702825.html,41.0
67,浦东,56490,东陆新村七街坊,高区/6层,235,1室1厅,1997,金桥,/ershoufang/sh4688675.html,41.6
68,浦东,10537,潍坊九村,高区/6层,410,1室1厅,1987,潍坊,/ershoufang/sh4687179.html,38.91
69,浦东,78691,兰园小区,中区/6层,380,2室0厅,1988,陆家嘴,/ershoufang/sh4679643.html,48.29
70,浦东,60327,临沂七村,中区/6层,295,2室0厅,1990,南码头,/ershoufang/sh4676759.html,48.9
71,浦东,57640,临沂六村,高区/6层,215,1室1厅,1991,南码头,/ershoufang/sh4670186.html,37.3
72,浦东,58997,上南十村,高区/6层,260,1室1厅,1989,世博,/ershoufang/sh4652412.html,44.07
73,浦东,59939,金杨新村三街坊,高区/7层,256,1室1厅,1995,金杨,/ershoufang/sh4649374.html,42.71
74,浦东,56739,济阳一村,高区/6层,245,1室1厅,1989,世博,/ershoufang/sh4648168.html,43.18
75,浦东,58056,港机新村,中区/5层,245,2室0厅,1980,南码头,/ershoufang/sh4643374.html,42.2
76,浦东,60028,浦发绿城,低区/6层,290,1室1厅,2004,三林,/ershoufang/sh4631580.html,48.31
